1o. Agrupamento,REFERENTE AO,2o. Agrupamento,Recurso,COR,Descrição,Matéria Prima,Compr,Largu,Quant,Saldo,Pendente,Etapa Seguinte,setor,setor_novo,
14/05/2024,010108,GMS C.Plasma,464338,,LONGARINA LD  PLAT BOMBA ANDR,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",900,207,1,0,1,S Estamparia,TANQUE,#REF!,464338-1;
14/05/2024,010108,GMS C.Plasma,010029,,APOIO PLAT BOMBA ANDR P/CHASSI 90CM,"120650 - CHAPA GQ   5/16(7,94)     1010",140,76,1,9,1,Sem Processo,TANQUE,#REF!,10029-1;
13/05/2024,010110,GMS C.Plasma,464296,,LONG PLATAF LE BOMBA ANDRADE,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",900,207,1,43,1,S Estamparia,TANQUE,#REF!,464296-1;
13/05/2024,010110,GMS C.Plasma,010029,,APOIO PLAT BOMBA ANDR P/CHASSI 90CM,"120650 - CHAPA GQ   5/16(7,94)     1010",140,76,1,9,1,Sem Processo,TANQUE,#REF!,10029-1;
21/11/2024,016147,GMS C.Serras,434656,,PONTA EIXO-CUBO FORJ  (00)F6,110980 - ACO LAMINADO RED 1.3/4    1045,306,"44,45",2,116,2,S Usinagem,EIXO,#REF!,434656-2;
21/11/2024,016147,GMS C.Plasma,016070,,"CHAPEAM EIXO           (CEN-2,00) F6SS","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1800,234,2,17,2,S Estamparia,EIXO,#REF!,16070-2;
21/11/2024,016147,GMS C.Plasma,016081,,COMPL EIXO                        (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",354,200,2,16,2,S Estamparia,EIXO,#REF!,16081-2;
21/11/2024,016147,GMS C.Plasma,425140,,CHAPEAM GUIA-BALANCIM     FT5,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",200,200,2,0,2,S Estamparia,EIXO,#REF!,425140-2;
21/11/2024,016147,GMS C.Plasma,016111,,REFORCO COMPL EIXO      (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",139,100,2,56,2,S Estamparia,EIXO,#REF!,16111-2;
21/11/2024,016147,GMS C.Plasma,016135,,FECHAM INT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,844,2,S Estamparia,EIXO,#REF!,16135-2;
21/11/2024,016147,GMS C.Plasma,016123,,FECHAM LAT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,643,2,S Estamparia,EIXO,#REF!,16123-2;
21/11/2024,016147,GMS C.Plasma,412661,,ARRUELA P/RET - EIXO (C) F6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",,,2,0,2,S Usinagem,EIXO,#REF!,412661-2;
21/11/2024,016147,GMS C.Plasma,025600,,HASTE ESTABILIZADORA LD/LE - EIXO F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",,,2,21,2,S Estamparia,EIXO,#REF!,25600-2;
21/11/2024,016147,GMS C.Plasma,420074,,ENGATE BALANCIM - EIXO BAL FT5,"120650 - CHAPA GQ   5/16(7,94)     1010",219,100,1,44,1,S Estamparia,EIXO,#REF!,420074-1;
21/11/2024,016147,GMS C.Plasma,412211,,ARRUELA LISA PORTA - ICAM CAR,"212300 - ARRUELA LISA 27MM POL. CHAPA 3/16""",,,4,0,4,Sem Processo,EIXO,#REF!,412211-4;
21/11/2024,016147,GMS C.Guilhotinas,455600,,TAMPA CUBO - RODAGEM   F6/FA/CBHM,"120121 - CHAPA FF #18   (1,21)     1010",128,128,2,623,2,S Estamparia,EIXO,#REF!,455600-2;
21/11/2024,016147,GMS C.Guilhotinas,016159,,FECHAM INF EIXO               (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",35,35,2,92,2,S Estamparia,EIXO,#REF!,16159-2;
21/11/2024,016147,GMS C.Guilhotinas,016093,,FECHAM EIXO                      (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",174,80,2,56,2,S Estamparia,EIXO,#REF!,16093-2;
21/11/2024,016147,GMS C.Guilhotinas,016100,,BATEDOR EIXO                   (CEN) F6SS,"120352 - CHAPA GQ   1/2 (12,7)     1010",100,80,2,29,2,S Estamparia,EIXO,#REF!,16100-2;
25/11/2024,016196,GMS Prensas,444959,,PINO FIXADOR - EIXO DIANT FT5,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",90,"12,7",2,0,2,S Usinagem,EIXO,#REF!,444959-2;
25/11/2024,016196,GMS C.Serras,434656,,PONTA EIXO-CUBO FORJ  (00)F6,110980 - ACO LAMINADO RED 1.3/4    1045,306,"44,45",2,116,2,S Usinagem,EIXO,#REF!,434656-2;
25/11/2024,016196,GMS C.Serras,442008,,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,10,1,S Usinagem,EIXO,#REF!,442008-1;
25/11/2024,016196,GMS C.Serras,437700,,CORPO LIMIT GIRO - EIX DIAT FT5,"126202 - AÇO CHATO LAM 1/2 X 3"" SAE-1020",350,"76,2",1,26,1,S Estamparia,EIXO,#REF!,437700-1;
25/11/2024,016196,GMS C.Serras,496522,,TUBO EIXO - EIXO SIMPL FT5,134030 - TUBO MEC STAND 101.60 X 6.30,70,"101,6",1,18,1,S Usinagem,EIXO,#REF!,496522-1;
25/11/2024,016196,GMS C.Plasma,447043,,PORTA ICAMENTO - EIXO SS (M98) F,"120157 - CHAPA GQ   3/8 (9,53)     1010",173,85,4,87,4,S Estamparia,EIXO,#REF!,447043-4;
25/11/2024,016196,GMS C.Plasma,016070,,"CHAPEAM EIXO           (CEN-2,00) F6SS","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1800,234,2,17,2,S Estamparia,EIXO,#REF!,16070-2;
25/11/2024,016196,GMS C.Plasma,016081,,COMPL EIXO                        (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",354,200,2,16,2,S Estamparia,EIXO,#REF!,16081-2;
25/11/2024,016196,GMS C.Plasma,459562,,TRAVA EIXO-EIXO COMPL F4S,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",150,150,1,28,1,S Estamparia,EIXO,#REF!,459562-1;
25/11/2024,016196,GMS C.Plasma,016111,,REFORCO COMPL EIXO      (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",139,100,2,56,2,S Estamparia,EIXO,#REF!,16111-2;
25/11/2024,016196,GMS C.Plasma,025573,,REFORÇO DA PLACA-EIXO DIANT F4/6 (NOV13...),"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",113,113,4,21,4,S Estamparia,EIXO,#REF!,25573-4;
25/11/2024,016196,GMS C.Plasma,016135,,FECHAM INT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,844,2,S Estamparia,EIXO,#REF!,16135-2;
25/11/2024,016196,GMS C.Plasma,016123,,FECHAM LAT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,643,2,S Estamparia,EIXO,#REF!,16123-2;
25/11/2024,016196,GMS C.Plasma,475087,,PLACA APOIO EIXO DIANT (M98) F,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",690,375,1,13,1,S Estamparia,EIXO,#REF!,475087-1;
25/11/2024,016196,GMS C.Plasma,412661,,ARRUELA P/RET - EIXO (C) F6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",,,2,0,2,S Usinagem,EIXO,#REF!,412661-2;
25/11/2024,016196,GMS C.Plasma,439990,,COMPL PORT ICAM EIXO SS (M98) F,"120650 - CHAPA GQ   5/16(7,94)     1010",85,40,2,104,2,S Estamparia,EIXO,#REF!,439990-2;
25/11/2024,016196,GMS C.Guilhotinas,455600,,TAMPA CUBO - RODAGEM   F6/FA/CBHM,"120121 - CHAPA FF #18   (1,21)     1010",128,128,2,623,2,S Estamparia,EIXO,#REF!,455600-2;
25/11/2024,016196,GMS C.Guilhotinas,016159,,FECHAM INF EIXO               (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",35,35,2,92,2,S Estamparia,EIXO,#REF!,16159-2;
25/11/2024,016196,GMS C.Guilhotinas,016093,,FECHAM EIXO                      (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",174,80,2,56,2,S Estamparia,EIXO,#REF!,16093-2;
25/11/2024,016196,GMS C.Guilhotinas,448552,,REFORÇO LIM GIRO EIXO SS(M98)F4,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",50,50,1,2745,1,S Estamparia,EIXO,#REF!,448552-1;
22/11/2024,017899,GMS C.Serras,434656,,PONTA EIXO-CUBO FORJ  (00)F6,110980 - ACO LAMINADO RED 1.3/4    1045,306,"44,45",2,116,2,S Usinagem,EIXO,#REF!,434656-2;
22/11/2024,017899,GMS C.Serras,442008,,PINO LIMITADOR GIRO-5RODA U6,"112215 - ACO TREF. RED. SAE-1020 - 1""",135,"25,4",1,10,1,S Usinagem,EIXO,#REF!,442008-1;
22/11/2024,017899,GMS C.Serras,479718,,PINO   FIX EIXO DIANT    F8/F10,"112525 - ACO TREF. RED. SAE-1020 - 5/8""",100,"15,88",2,192,2,S Usinagem,EIXO,#REF!,479718-2;
22/11/2024,017899,GMS C.Serras,437700,,CORPO LIMIT GIRO - EIX DIAT FT5,"126202 - AÇO CHATO LAM 1/2 X 3"" SAE-1020",350,"76,2",1,26,1,S Estamparia,EIXO,#REF!,437700-1;
22/11/2024,017899,GMS C.Serras,496522,,TUBO EIXO - EIXO SIMPL FT5,134030 - TUBO MEC STAND 101.60 X 6.30,70,"101,6",1,18,1,S Usinagem,EIXO,#REF!,496522-1;
22/11/2024,017899,GMS C.Plasma,447043,,PORTA ICAMENTO - EIXO SS (M98) F,"120157 - CHAPA GQ   3/8 (9,53)     1010",173,85,4,87,4,S Estamparia,EIXO,#REF!,447043-4;
22/11/2024,017899,GMS C.Plasma,016937,,"CHAPEAMENTO EIXO (CEN-1,75) F6SS","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1550,234,2,7,2,S Estamparia,EIXO,#REF!,16937-2;
22/11/2024,017899,GMS C.Plasma,016081,,COMPL EIXO                        (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",354,200,2,16,2,S Estamparia,EIXO,#REF!,16081-2;
22/11/2024,017899,GMS C.Plasma,459562,,TRAVA EIXO-EIXO COMPL F4S,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",150,150,1,28,1,S Estamparia,EIXO,#REF!,459562-1;
22/11/2024,017899,GMS C.Plasma,016111,,REFORCO COMPL EIXO      (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",139,100,2,56,2,S Estamparia,EIXO,#REF!,16111-2;
22/11/2024,017899,GMS C.Plasma,025573,,REFORÇO DA PLACA-EIXO DIANT F4/6 (NOV13...),"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",113,113,4,21,4,S Estamparia,EIXO,#REF!,25573-4;
22/11/2024,017899,GMS C.Plasma,016135,,FECHAM INT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,844,2,S Estamparia,EIXO,#REF!,16135-2;
22/11/2024,017899,GMS C.Plasma,016123,,FECHAM LAT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,643,2,S Estamparia,EIXO,#REF!,16123-2;
22/11/2024,017899,GMS C.Plasma,475087,,PLACA APOIO EIXO DIANT (M98) F,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",690,375,1,13,1,S Estamparia,EIXO,#REF!,475087-1;
22/11/2024,017899,GMS C.Plasma,412661,,ARRUELA P/RET - EIXO (C) F6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",,,2,0,2,S Usinagem,EIXO,#REF!,412661-2;
22/11/2024,017899,GMS C.Plasma,439990,,COMPL PORT ICAM EIXO SS (M98) F,"120650 - CHAPA GQ   5/16(7,94)     1010",85,40,2,104,2,S Estamparia,EIXO,#REF!,439990-2;
22/11/2024,017899,GMS C.Guilhotinas,455600,,TAMPA CUBO - RODAGEM   F6/FA/CBHM,"120121 - CHAPA FF #18   (1,21)     1010",128,128,2,623,2,S Estamparia,EIXO,#REF!,455600-2;
22/11/2024,017899,GMS C.Guilhotinas,016159,,FECHAM INF EIXO               (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",35,35,2,92,2,S Estamparia,EIXO,#REF!,16159-2;
22/11/2024,017899,GMS C.Guilhotinas,016093,,FECHAM EIXO                      (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",174,80,2,56,2,S Estamparia,EIXO,#REF!,16093-2;
22/11/2024,017899,GMS C.Guilhotinas,448552,,REFORÇO LIM GIRO EIXO SS(M98)F4,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",50,50,1,2745,1,S Estamparia,EIXO,#REF!,448552-1;
24/11/2024,017917,GMS C.Serras,434656,,PONTA EIXO-CUBO FORJ  (00)F6,110980 - ACO LAMINADO RED 1.3/4    1045,306,"44,45",2,116,2,S Usinagem,EIXO,#REF!,434656-2;
24/11/2024,017917,GMS C.Plasma,016937,,"CHAPEAMENTO EIXO (CEN-1,75) F6SS","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1550,234,2,7,2,S Estamparia,EIXO,#REF!,16937-2;
24/11/2024,017917,GMS C.Plasma,016081,,COMPL EIXO                        (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",354,200,2,16,2,S Estamparia,EIXO,#REF!,16081-2;
24/11/2024,017917,GMS C.Plasma,425140,,CHAPEAM GUIA-BALANCIM     FT5,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",200,200,2,0,2,S Estamparia,EIXO,#REF!,425140-2;
24/11/2024,017917,GMS C.Plasma,016111,,REFORCO COMPL EIXO      (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",139,100,2,56,2,S Estamparia,EIXO,#REF!,16111-2;
24/11/2024,017917,GMS C.Plasma,016135,,FECHAM INT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,844,2,S Estamparia,EIXO,#REF!,16135-2;
24/11/2024,017917,GMS C.Plasma,016123,,FECHAM LAT EIXO               (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",145,80,2,643,2,S Estamparia,EIXO,#REF!,16123-2;
24/11/2024,017917,GMS C.Plasma,412661,,ARRUELA P/RET - EIXO (C) F6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",,,2,0,2,S Usinagem,EIXO,#REF!,412661-2;
24/11/2024,017917,GMS C.Plasma,025600,,HASTE ESTABILIZADORA LD/LE - EIXO F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",,,2,21,2,S Estamparia,EIXO,#REF!,25600-2;
24/11/2024,017917,GMS C.Plasma,420074,,ENGATE BALANCIM - EIXO BAL FT5,"120650 - CHAPA GQ   5/16(7,94)     1010",219,100,1,44,1,S Estamparia,EIXO,#REF!,420074-1;
24/11/2024,017917,GMS C.Guilhotinas,455600,,TAMPA CUBO - RODAGEM   F6/FA/CBHM,"120121 - CHAPA FF #18   (1,21)     1010",128,128,2,623,2,S Estamparia,EIXO,#REF!,455600-2;
24/11/2024,017917,GMS C.Guilhotinas,016159,,FECHAM INF EIXO               (CEN) F6SS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",35,35,2,92,2,S Estamparia,EIXO,#REF!,16159-2;
24/11/2024,017917,GMS C.Guilhotinas,016093,,FECHAM EIXO                      (CEN) F6SS,"120250 - CHAPA #11(3,04) A36/CIVIL300",174,80,2,56,2,S Estamparia,EIXO,#REF!,16093-2;
24/11/2024,017917,GMS C.Guilhotinas,016100,,BATEDOR EIXO                   (CEN) F6SS,"120352 - CHAPA GQ   1/2 (12,7)     1010",100,80,2,29,2,S Estamparia,EIXO,#REF!,16100-2;
06/07/2024,023310,GMS Prensas,023516,,ENGATE VARÃO DE TRAVA    CBHM 2 EIXOS,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",110,"12,7",1,2408,1,S Estamparia,CONJ INTERMED,#REF!,23516-1;
06/07/2024,023310,GMS C.Serras,023358,,TUBO DO TIRANTE DA TRAVA   CBHM 2 EIXOS,134375 - TUBO     1/2       DIN 2440,575,"21,2",1,84,1,S Mont Sistemas Carretas,CONJ INTERMED,#REF!,23358-1;
23/07/2024,023528,GMS C.Plasma,023504,,CHAPA DE REGULAGEM VARÃO DE TRAVA   CBHM 2 EIXOS,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",,,1,180,1,Sem Processo,CONJ INTERMED,#REF!,23504-1;
28/11/2024,023565,GMS C.Serras,025071,,BUCHA EMBOLO - IÇAMENTO F4/F6 (NOV/12...),"134170 - TUBO SCHEDULLE 80 - 1.1/2""",105,"48,3",1,44,1,Sem Processo,IÇAMENTO,#REF!,25071-1;
28/11/2024,023565,GMS C.Serras,418377,,BUCHA ICAMENTO FA4,134855 - TUBO     1           DIN 2440,20,"25,4",2,0,2,S Mont Sistemas Carretas,IÇAMENTO,#REF!,418377-2;
28/11/2024,023565,GMS C.Plasma,025614,,HASTE TRACAO MENOR-ICAM MAIOR F4/F6/CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",885,155,2,37,2,S Estamparia,IÇAMENTO,#REF!,25614-2;
28/11/2024,023565,GMS C.Plasma,446282,,TRANSV MAIOR - ICAM  (M98)F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",658,120,1,9,1,S Estamparia,IÇAMENTO,#REF!,446282-1;
28/11/2024,023565,GMS C.Plasma,446312,,TRANSV MENOR - ICAM  (M98)F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",380,120,1,13,1,S Estamparia,IÇAMENTO,#REF!,446312-1;
28/11/2024,023565,GMS C.Plasma,468393,,FECHAM COMPL - ICAM  (M98)F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",110,80,2,112,2,S Estamparia,IÇAMENTO,#REF!,468393-2;
28/11/2024,023565,GMS C.Plasma,468540,,FECHAM FRONTAL - ICAM (M98) F4/6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",87,105,2,358,2,S Estamparia,IÇAMENTO,#REF!,468540-2;
28/11/2024,023565,GMS C.Guilhotinas,481439,,HASTE TRACAO MAIOR - ICAM MAIOR    FTC/CBHM 02 EIXOS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1350,285,1,8,1,S Estamparia,IÇAMENTO,#REF!,481439-1;
10/06/2024,023590,GMS C.Plasma,026416,,CORPO DA TRAVA CBH/CBHM 4/6,"120352 - CHAPA GQ   1/2 (12,7)     1010",,,1,173,1,S Mont Sistemas Carretas,PLAT / CAÇAM.,#REF!,26416-1;
10/06/2024,023590,GMS C.Guilhotinas,490313,,REFORÇO TRAVA T TRAS -  ACESS  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",295,30,1,76,1,S Estamparia,PLAT / CAÇAM.,#REF!,490313-1;
08/07/2024,023620,GMS Prensas,023516,,ENGATE VARÃO DE TRAVA    CBHM 2 EIXOS,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",110,"12,7",1,2408,1,S Estamparia,CONJ INTERMED,#REF!,23516-1;
08/07/2024,023620,GMS C.Serras,023632,,TUBO DO TIRANTE DA TRAVA   (M12) CBH,134375 - TUBO     1/2       DIN 2440,425,"21,2",1,36,1,S Mont Sistemas Carretas,CONJ INTERMED,#REF!,23632-1;
17/04/2024,024030,GMS Prensas,023516,,ENGATE VARÃO DE TRAVA    CBHM 2 EIXOS,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",110,"12,7",2,2408,2,S Estamparia,CHASSI,#REF!,23516-2;
17/04/2024,024030,GMS C.Serras,409728,,TRANSV TRASEIRA    CBHM,134055NAC - TUBO QUADRADO 120 X 120 X 8.00,535,,1,6,1,Sem Processo,CHASSI,#REF!,409728-1;
17/04/2024,024030,GMS C.Plasma,031045,,SAPATA MAIOR CHASSI  CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",,,2,70,2,Sem Processo,CHASSI,#REF!,31045-2;
17/04/2024,024030,GMS C.Plasma,025551,,REFORÇO DA LONGARINA - CHASSI CBHF M12,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1445,210,2,4,2,S Estamparia,CHASSI,#REF!,25551-2;
17/04/2024,024030,GMS C.Plasma,023978,,TRANSV INTERMEDIÁRIA  CHASSI  CBHF (M12),"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",465,265,1,0,1,S Estamparia,CHASSI,#REF!,23978-1;
17/04/2024,024030,GMS C.Plasma,023966,,TRANSVERSINA DIANTEIRA   CHASSI  CBHF (M12),"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",331,295,1,6,1,S Estamparia,CHASSI,#REF!,23966-1;
17/04/2024,024030,GMS C.Plasma,025196,,REFORÇO DA TRANSVERSINA DIANTEIRA CHASSI CBHF (M12),"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",275,85,2,13,2,S Estamparia,CHASSI,#REF!,25196-2;
17/04/2024,024030,GMS C.Plasma,465422,,FECHAM TRAS LONG   CHASSI  CBHM,"120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",,,2,6770,2,S Estamparia,CHASSI,#REF!,465422-2;
17/04/2024,024030,GMS C.Plasma,024004,,LONGARINA   CHASSI  CBHF (M12),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2190,378,2,0,2,S Estamparia,CHASSI,#REF!,24004-2;
17/04/2024,024030,GMS C.Plasma,025484,,TRANSV  INTERMEDIARIA (A PARTIR DE AGOSTO/2013)  CHASSI CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",530,230,1,40,1,S Estamparia,CHASSI,#REF!,25484-1;
17/04/2024,024030,GMS C.Plasma,425760,,SUPORTE DO CILINDRO       CBHM,"120352 - CHAPA GQ   1/2 (12,7)     1010",87,80,2,782,2,Sem Processo,CHASSI,#REF!,425760-2;
17/04/2024,024030,GMS C.Plasma,409753,,SUPORTE TRASEIRO   CBHM,"120650 - CHAPA GQ   5/16(7,94)     1010",,,4,114,4,Sem Processo,CHASSI,#REF!,409753-4;
27/11/2024,024041,GMS C.Serras,013742,,PREND TUBO HIDR -     ICAMENTO  CBHF,126329 - AÇO CHATO LAM 5/8 X 1.1/2 SAE-1020,75,38,2,0,2,S Usinagem,IÇAMENTO,#REF!,13742-2;
27/11/2024,024041,GMS C.Serras,464843,,TRAVA EMBOLO - CHASSI CBHM/ICAM FA,"134144 - TUBO SCHEDULLE 80 - 2"" C/C",15,61,1,0,1,Sem Processo,IÇAMENTO,#REF!,464843-1;
27/11/2024,024041,GMS C.Serras,030327,,TUBO FIXO MACACO M17 CHASSI CBHM/CBH,134157 - TUBO MECANICO  50 X  32  ST-52,54,,1,40,1,S Usinagem,IÇAMENTO,#REF!,30327-1;
27/11/2024,024041,GMS C.Plasma,025550,,SUPORTE DE FIXAÇÃO TRASEIRO - IÇAM - CBHF M12,"120157 - CHAPA GQ   3/8 (9,53)     1010",292,273,1,2,1,S Estamparia,IÇAMENTO,#REF!,25550-1;
27/11/2024,024041,GMS C.Plasma,025195,,SUPORTE DE FIXAÇÃO IÇAM  CBHF (M12),"120157 - CHAPA GQ   3/8 (9,53)     1010",285,180,1,1,1,S Estamparia,IÇAMENTO,#REF!,25195-1;
27/11/2024,024041,GMS C.Plasma,030381,,FIXADOR MACACO M17 CHASSI CBHM/CBH,"120157 - CHAPA GQ   3/8 (9,53)     1010",100,135,1,93,1,S Usinagem,IÇAMENTO,#REF!,30381-1;
27/11/2024,024041,GMS C.Plasma,025709,,HASTE DE TRAÇÃO IÇAMENTO (FEV14...) CBHF (M12),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2705,568,1,1,1,S Estamparia,IÇAMENTO,#REF!,25709-1;
27/11/2024,024041,GMS C.Plasma,025662,,FECHAM DIANTEIRO ICAM (M98) FA (NOV13...),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",274,158,1,62,1,S Estamparia,IÇAMENTO,#REF!,25662-1;
27/11/2024,024041,GMS C.Plasma,025661,,SUPORTE ENGATE ICAM (M98) FA (NOV13...),"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",158,122,1,159,1,Sem Processo,IÇAMENTO,#REF!,25661-1;
27/11/2024,024041,GMS C.Plasma,483023,,FECHAM LATERAL ICAM (M98) FA/CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",134,36,2,12873,2,Sem Processo,IÇAMENTO,#REF!,483023-2;
27/11/2024,024041,GMS C.Plasma,031867,,SUPOTE DA BASE DA ENSILADEIRA _ IÇAMENTO CBE _ CBHM 5000 CBE,"120650 - CHAPA GQ   5/16(7,94)     1010",460,173,2,12,2,S Estamparia,IÇAMENTO,#REF!,31867-2;
27/11/2024,024041,GMS C.Guilhotinas,025241,,REFORÇO DA BUCHA DO MACACO - ICAM FA,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",100,100,4,80,4,Sem Processo,IÇAMENTO,#REF!,25241-4;
15/08/2024,024314,GMS C.Serras,034790,,"TERMINAL MACHO JIC 3/4"" [TUBOS HIDRÁULICOS - CBH/CBHM]","112434 - ACO TREF. RED. SAE-1020 - 3/4""",,,2,263,2,S Usinagem,CONJ INTERMED,#REF!,34790-2;
15/08/2024,024314,GMS C.Serras,024302,,CORPO TUBO HIDRÁULICO - ACESS   CBHF (M12),"134388 - TUBO SCHEDULLE 40 - 3/8"" S/C  6.30 METROS",2755,"17,2",1,2,1,S Estamparia,CONJ INTERMED,#REF!,24302-1;
12/11/2024,024480,GMS C.Serras,417294,,PONTA DE EIXO - EIXO BAL TANDEM   FA4,110980 - ACO LAMINADO RED 1.3/4    1045,366,"44,45",2,18,2,S Usinagem,EIXO,#REF!,417294-2;
12/11/2024,024480,GMS C.Serras,436410,,COMPLEM BARRA ENGATE - CH RP13,126457 - AÇO CHATO LAM 3/8 X 2 SAE-1020,,,1,39,1,Sem Processo,EIXO,#REF!,436410-1;
12/11/2024,024480,GMS C.Serras,031245,,TUBO BALANCIM TANDEM 4T,"134031NAC - TUBO QUADRADO   100,00 X 100,00 X 6MM",1080,,1,20,1,S Usinagem,EIXO,#REF!,31245-1;
12/11/2024,024480,GMS C.Serras,416009,,BUCHA BRACO - EIXO BAL T  FA4/6,"134170 - TUBO SCHEDULLE 80 - 1.1/2""",115,"48,26",1,28,1,S Usinagem,EIXO,#REF!,416009-1;
12/11/2024,024480,GMS C.Plasma,417233,,ARRUELA REFORCO ESTAB - EIXO BAL T FA4/6,"120157 - CHAPA GQ   3/8 (9,53)     1010",64,64,1,32,1,S Estamparia,EIXO,#REF!,417233-1;
12/11/2024,024480,GMS C.Plasma,031248,,BRACO ESTABILIZADOR(TUBO) - EIXO BAL TANDEM CBHM/CBH 4T,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",1529,165,1,13,1,S Estamparia,EIXO,#REF!,31248-1;
