,processo,codigo,descricao,materia_prima,quantidade
284,Lateral,031238,FECHAM. FUEIRO - FUEIRO DIANT. SUPERIOR - CBH M18,"120273 - CHAPA FQ  3,75mm. SAE-1006",12.0
285,Lateral,032597,TRAVA DA CORRENTE       - TAMPA TRAS       CBHM,"112458 - ACO TREF. RED. SAE-1020 - 3/8""",6.0
286,Lateral,035515,PLACA CEMAG [GRADE - F4_F6],"120137 - BOBINA CHAPA LQ 2.00 X 1,50 A36/CIVIL300",2.0
287,Lateral,425953,FECHAMENTO LAT GRADE 45 CM  CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",72.0
288,Lateral,425977,FEMEA ENGATE  -  GRADES  CBHM,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",54.0
289,Lateral,429764,APOIO FEMEA ENG  -  GRADES  CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",54.0
290,Lateral,493107,CHAPEAM - GRADE LATERAL 45 CM  CBHM,"120133 - CHAPA FQ #14 (1,20 x 5,60m) 1010",36.0
291,Lateral,494665,PINO FUEIRO       CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",12.0
292,Macaco,030326,TUBO FIXO MACACO - MACACO EXTERNO - CBHM/CBH 4T,"134144 - TUBO SCHEDULLE 80 - 2"" C/C",24.0
293,Macaco,030386,TRAVA MACACO - MACACO EXTERNO - CBHM/CBH 4T,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",24.0
294,Macaco,030789,CORRENTE 180MM - MACACO M17,226105 - CORRENTE ELO 3/16 F. POLIDO,24.0
295,Macaco,494884,PINO  MACACO     CBH/CBHM,"112525 - ACO TREF. RED. SAE-1020 - 5/8""",24.0
296,Plataforma,018016,REFORCO SUPORTE COL CEN (6000) CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",13.0
297,Plataforma,018181,PISO ESQUERDO   PLATAF (6000) CBHM,"120255 - CHAPA FQ #13 (1,20 x 3,51m) 1010",4.0
298,Plataforma,025401,SUPORTE DO CILINDRO - CHASSI DA CAÇAMBA CBH (M13) 8T,"120352 - CHAPA GQ   1/2 (12,7)     1010",4.0
299,Plataforma,025473,BUCHA SUPERIOR - CHASSI DA CAÇAMBA - CBH 8T (M13),134157 - TUBO MECANICO  50 X  32  ST-52,4.0
300,Plataforma,025554,"CORPO DA PLATAFORMA - PLATAFORMA - S4,0M","120307 - CHAPA FQ #12 (1,20 x 4,00m) 1010",2.0
301,Plataforma,025555,"TRANSVERSINA DIANTEIRA- PLATAFORMA - S4,0M","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",1.0
302,Plataforma,025556,"TRANSVERSINA INTERMED - PLATAFORMA - S3,2/4,0M","120250 - CHAPA #11(3,04) A36/CIVIL300",4.0
303,Plataforma,025557,"TRANSVERSINA TRASEIRA- PLATAFORMA - S4,0M",120545 - BOBINA CHAPA LQ 3.00 X 1500 A36/CIVIL300,1.0
304,Plataforma,025892,GANCHO DA PLATAFORMA - CARROCERIA METÁLICA M14,"112525 - ACO TREF. RED. SAE-1020 - 5/8""",12.0
305,Plataforma,026416,CORPO DA TRAVA CBH/CBHM 4/6,"120352 - CHAPA GQ   1/2 (12,7)     1010",36.0
306,Plataforma,028757,REFORÇO DE ARTICULAÇÃO- CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
307,Plataforma,029662,"LONGARINA - PLATAFORMA S4,0ER","120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",2.0
308,Plataforma,030334,LONGARINA DA PLATAFORMA M17    CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",28.0
309,Plataforma,030336,APOIO ARTICULAÇÃO - PLATAFORMA M17 (4T) CBH/CBHM,"120650 - CHAPA GQ   5/16(7,94)     1010",26.0
310,Plataforma,030338,MANCAL - PLATAFORMA M17 (4T) CBH/CBHM,134212 - TUBO MECANICO  56 X  40  ST-52,52.0
311,Plataforma,030339,PISO ESQ PLATAF M17 (3500/5000/8000) CBHM,"120253 - CHAPA FQ #13 (1,20 x 5,60m) 1010",7.0
312,Plataforma,030341,PISO DIR PLATAF M17 (3500/5000/8000) CBHM,"120253 - CHAPA FQ #13 (1,20 x 5,60m) 1010",9.0
313,Plataforma,030500,LONGARINA - CBH M17 2 EIXOS,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
314,Plataforma,030501,REFORÇO LONGARINA,"120650 - CHAPA GQ   5/16(7,94)     1010",4.0
315,Plataforma,030506,TRANSVERSINA DIANT/TRAS - CHASSI DA PLATAFORMA CBH/CBHM 6T 2E,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",7.0
316,Plataforma,030512,"TRANSVERSINA INTERM. - CHASSI  DA CAÇAMBA - CBH 6,0 2E","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
317,Plataforma,030547,FECHAMENTO DO SUPORTE,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",4.0
318,Plataforma,030614,REFORÇO INTERNO DO ENGATE -  PLATAFORMA CBHM/CBH,"120250 - CHAPA #11(3,04) A36/CIVIL300",4.0
319,Plataforma,030616,PISO ESQUERDO [PLATAFORMA - CBHM 4500],"120133 - CHAPA FQ #14 (1,20 x 5,60m) 1010",2.0
320,Plataforma,030645,REFORÇO TRANSV DIANTEIRA - PLATAFORMA CBHM M17,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",17.0
321,Plataforma,030649,APOIO DA ARTICULAÇÃO  CBHM 4500 M17,"120650 - CHAPA GQ   5/16(7,94)     1010",4.0
322,Plataforma,030810,TRANSV N° 4 - PLAT 6000 2E CBHM M17,"120273 - CHAPA FQ  3,75mm. SAE-1006",1.0
323,Plataforma,031484,LONGARINA - PLATAFORMA CBHM 6000 CAFEEIRA,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",10.0
324,Plataforma,031486,PISO DIREITO - PLATAFORMA CBHM 6000 CAFEEIRA,"120267 - CHAPA FQ #14 (1,20 x 3,50m) 1010",5.0
325,Plataforma,031487,PISO ESQUERDO - PLATAFORMA CBHM 6000 CAFEEIRA,"120267 - CHAPA FQ #14 (1,20 x 3,50m) 1010",5.0
326,Plataforma,031508,"LONGARINA - CHASSI DA CAÇAMBA - CBH 6,0T 7M³","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
327,Plataforma,031556,REFORCO CENTRAL - PLATAF (6000) CBHM CAFEEIRA,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",10.0
328,Plataforma,032552,TRANSVERSINA TRASEIRA [PLATAFORMA - CBHM 4500],"120250 - CHAPA #11(3,04) A36/CIVIL300",2.0
329,Plataforma,032553,TRANSVERSINA TRASEIRA [PLATAFORMA - CBHM 5000/6000],"120250 - CHAPA #11(3,04) A36/CIVIL300",16.0
330,Plataforma,034151,"TRANSVERSINA DIANTEIRA - PLATAFORMA S4,0ER M23","120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",1.0
331,Plataforma,034152,"TRANSVERSINA TRASEIRA - PLATAFORMA S4,0ER M23","120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",1.0
332,Plataforma,034153,"TRANSVERSINA INTERMEDIÁRIA (Nº1 e 3) - PLATAFORMA S4,0ER M23","120278 - BOBINA CHAPA LQ 3.75 X 1,20 A36/CIVIL300",4.0
333,Plataforma,034249,REFORÇO INFERIOR 2 [PLATAFORMA - CBHM],"120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",39.0
334,Plataforma,034250,REFORÇO INFERIOR 3 [PLATAFORMA - CBHM],"120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",21.0
335,Plataforma,034252,REFORÇO INFERIOR 1 [PLATAFORMA - CBHM],"120136 - BOBINA CHAPA LQ 2.25 X 1,20 A36/CIVIL300",15.0
336,Plataforma,409935,TRANSV FRONTAL - PLAT    CBHM4500,"120134 - BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",2.0
337,Plataforma,409959,SUPORTE DA COLUNA          CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",72.0
338,Plataforma,409960,TRANSVERSINA CENTRAL - PLAT CBHM4500,"120250 - CHAPA #11(3,04) A36/CIVIL300",6.0
339,Plataforma,410251,ENGATE DOBRAD - CHASSI    C2,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",188.0
340,Plataforma,424780,TRANSVERSINA MENOR   CBHM,"120250 - CHAPA #11(3,04) A36/CIVIL300",4.0
341,Plataforma,425187,REFORÇO CENTRAL    CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",30.0
342,Plataforma,425734,TRANSV SUP CILINDRO    PLAT  CBHM,134055NAC - TUBO QUADRADO 120 X 120 X 8.00,24.0
343,Plataforma,425760,SUPORTE DO CILINDRO       CBHM,"120352 - CHAPA GQ   1/2 (12,7)     1010",56.0
344,Plataforma,425783,BUCHA GUIA    CBHM,134132 - TUBO MECANICO  32 X  20  ST-52,52.0
345,Plataforma,425795,APOIO BUCHA GUIA    CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",52.0
346,Plataforma,425801,GUIA DA PLATAFORMA    CBHM,"120203 - BOBINA CHAPA LQ 6.30 X 1,20 1008/1010",48.0
347,Plataforma,425849,COMPLEM TRANSV TRASEIRA   CBHM,"120134 - BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",72.0
348,Plataforma,425874,PINO DA TRAVA         CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",36.0
349,Plataforma,446841,REFORCO              CHASSI (M98)  F4/6,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",18.0
350,Plataforma,450790,TRANSV N3 - PLATAF (6000) CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",16.0
351,Plataforma,450819,TRANSV N1 - PLATAF (6000) CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",8.0
352,Plataforma,450820,REFORCO DIANT - PLATAF (6000) CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",6.0
353,Plataforma,450832,PISO DIREITO          - PLATAF (6000) CBHM,"120255 - CHAPA FQ #13 (1,20 x 3,51m) 1010",4.0
354,Plataforma,450856,REFORCO CENTRAL - PLATAF (6000) CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
355,Plataforma,450868,SUP COL CENTRAL - PLATAF (6000) CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",18.0
356,Plataforma,450870,LONGARINA - PLATAF (6000) CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
357,Plataforma,460679,TRANSV MENOR - PLAT (3500/5000)  CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",30.0
358,Plataforma,460680,TRANSV CENTRAL - PLAT (3500/5000) CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",67.0
359,Plataforma,460709,TRANSV FRONTAL - PLAT (3500/5000) CBHM,"120133 - CHAPA FQ #14 (1,20 x 5,60m) 1010",16.0
360,Plataforma,480009,ANILHO MOLA POCIS       CBH/CBHM,"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",36.0
361,Plataforma,490313,REFORÇO TRAVA T TRAS -  ACESS  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",36.0
362,Traseira,013213,"FECHAM LAT TAMPA TRAS 1,10m  CBHM","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",32.0
363,Traseira,018338,ENGATE S/TRAVA -  GRADES  CBHM,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",3.0
364,Traseira,025566,"SUPORTE - FECHAM TRASEIRO  (FR) - S4,0/3,2M","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
365,Traseira,028681,BUCHA DOBRADIÇA LATERAL  CBH/CBHM,134625 - TUBO MECANICO  40 X  20  ST-52,12.0
366,Traseira,028764,ESPAÇADOR TAMPA TRASEIRA  CBH/CBHM,"126615 - AÇO CHATO LAM 3/4 X 2"" SAE-1020",12.0
367,Traseira,028845,CORRENTE 400MM - TAMPA TRASEIRA CBH,226105 - CORRENTE ELO 3/16 F. POLIDO,6.0
368,Traseira,029688,"CORPO - FECHAMENTO TRASEIRO - S4,0ER","120031 - CHAPA FQ #14 (1,20 x 6,00m) 1010",1.0
369,Traseira,030993,"ENGATE GRADE - ESTRUTURA GRADE TRASEIRA - S3,2/4,0MD","120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",3.0
370,Traseira,031017,"FECHAMENTO LATERAL 45cm - ESTRUTURA GRADE TRASEIRA - S3,2/4,0MD","120273 - CHAPA FQ  3,75mm. SAE-1006",2.0
371,Traseira,031018,"COLUNA LATERAL ALT 45- ESTRUTURA GRADE TRASEIRA/LATERAL - S3,2/4,0MD","120255 - CHAPA FQ #13 (1,20 x 3,51m) 1010",3.0
372,Traseira,031223,PARTE INF. CHAPA TAMPA TRAS. (ABERT. LATERAL) - CBH M18,"120134 - BOBINA CHAPA LQ 2.00 X 1,20 A36/CIVIL300",6.0
373,Traseira,031224,PARTE SUP. CHAPA TAMPA TRAS. (ABERT. LATERAL) - CBH M18,"120031 - CHAPA FQ #14 (1,20 x 6,00m) 1010",6.0
374,Traseira,031225,DOBRADIÇA SUP. TAMPA TRAS. ABERT. LATERAL - CBH M18,"120054 - CHAPA GQ   5/8 (15,8)     1010",16.0
375,Traseira,031226,COLUNA TAMPA TRASEIRA - CBH (ABERT. LATERAL) M18,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",12.0
376,Traseira,031227,CANTONEIRA INFERIOR TAMPA TRAS - CBH M18,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",8.0
377,Traseira,032045,CANT INF TAMPA TRASEIRA  CBH M20,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",16.0
378,Traseira,032367,CHAPEAMENTO [TAMPA TRASEIRA - CBH UG M21],120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,2.0
379,Traseira,032368,"FECHAMENTO LATERAL [TAMPA TRASEIRA - CBH ""USO GERAL"" M21]","120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",4.0
380,Traseira,032597,TRAVA DA CORRENTE       - TAMPA TRAS       CBHM,"112458 - ACO TREF. RED. SAE-1020 - 3/8""",32.0
381,Traseira,034158,"LONGARINA - ESTRUTURA GRADE DIANT/TRAS - S4,0MD M23",134060 - TUBO RET  50 X 30 X 2.00MM TAM. 6 METROS,2.0
382,Traseira,034210,ESBARRO DO ENGATE [GRADE LATERAL - F/FA],"112458 - ACO TREF. RED. SAE-1020 - 3/8""",2.0
383,Traseira,034251,"CHAPEAMENTO TAMPA TRAS 1,10m (5000) CBHM","120267 - CHAPA FQ #14 (1,20 x 3,50m) 1010",16.0
384,Traseira,493211,CHAPEAM TAMPA TRASEIRA (4500)  CBHM,120547 - BOBINA CHAPA LQ 2.65 X 1500 A36/CIVIL300,2.0
385,Traseira,493296,FECHAM LAT TAMPA TRAS 90 CM  CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",4.0
386,Traseira,493338,CANT INF TAMPA TRAS 90 CM  CBHM,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",2.0
387,Traseira,494495,DOBRADIÇA TAMPA TRASEIRA  CBH/CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",36.0
388,Traseira,494501,ABA LATERAL TAMPA TRAS (4500)  CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",4.0
