,processo,codigo,descricao,materia_prima,quantidade
145,Dianteira ,425941,CHAP LATERAL DIANT (4500)  CBHM,"120274 - CHAPA FQ #14 (1.20 x 4,50m) 1010",4.0
146,Dianteira ,425953,FECHAMENTO LAT GRADE 45 CM  CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",216.0
147,Dianteira ,425977,FEMEA ENGATE  -  GRADES  CBHM,"112203 - ACO TREF. RED. SAE-1020 - 1/2""",108.0
148,Dianteira ,429764,APOIO FEMEA ENG  -  GRADES  CBHM,"120273 - CHAPA FQ  3,75mm. SAE-1006",108.0
149,Dianteira ,460394,CHAP GRADE DIANT 45 CM (5000)  CBH,"120267 - CHAPA FQ #14 (1,20 x 3,50m) 1010",104.0
150,Dianteira ,494665,PINO FUEIRO       CBHM,"112434 - ACO TREF. RED. SAE-1020 - 3/4""",12.0
151,Eixo,024375,REFORÇO DO CHAPEAM DO EIXO  - EIXO BAL TANDEM  CBHM,"126202 - AÇO CHATO LAM 1/2 X 3"" SAE-1020",4.0
152,Eixo,025455,TRAVA - SUP EIXO CBH-8,"120650 - CHAPA GQ   5/16(7,94)     1010",2.0
153,Eixo,025545,CORPO DO EIXO - F4/6 CM/SM,134018NAC - TUBO RETANGULAR 200 X 100 X 4.75,4.0
154,Eixo,025546,FECHAMENTO [EIXO - F4],"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",8.0
155,Eixo,025547,CORPO DO EIXO CBH/CBHM5000...10000 (NOV13...),134017NAC - TUBO RETANGULAR 150 X 100 X 6.35 X 6000,16.0
156,Eixo,025588,SUPORTE FREIO-EIXO (NOV13...),"120352 - CHAPA GQ   1/2 (12,7)     1010",8.0
157,Eixo,025604,PINO SUPORTE FREIO-EIXO (NOV13...),"112434 - ACO TREF. RED. SAE-1020 - 3/4""",8.0
158,Eixo,025623,CORPO DO EIXO RD - CBHM 4500,134017NAC - TUBO RETANGULAR 150 X 100 X 6.35 X 6000,2.0
159,Eixo,025655,SAPATA DO EIXO C/MOLA CBH/CBHM (NOV13...),"120157 - CHAPA GQ   3/8 (9,53)     1010",8.0
160,Eixo,025698,FECHAMENTO DO EIXO - CBHM 4500,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
161,Eixo,025833,MANCAL CENTRAL DO EIXO - CBHM/CBH 6T 02 Eixos (M14),134223 - TUBO MECANICO  71 X  54  ST-52,2.0
162,Eixo,025834,CORPO DO EIXO DIANT - CBHM 6000/CBH 6T 02 EIXOS (M14),134017NAC - TUBO RETANGULAR 150 X 100 X 6.35 X 6000,1.0
163,Eixo,025835,BATEDOR DO EIXO - EIXO DIANT CBHM 6000 2E (M14),"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",4.0
164,Eixo,025845,REF INFERIOR DO EIXO - CBHM 6000 2E (M14),"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",2.0
165,Eixo,030443,CORPO DO EIXO DIANT - CBHM 6000/CBH 6T 02 EIXOS RS/RD (M17),134012 - TUBO RETANGULAR 150 X 100 X 6.35 X 5000,1.0
166,Eixo,030446,CORPO DO EIXO TRASEIRO - CBHM 6000/CBH 6T 02 EIXOS RS/RD (M17),134012 - TUBO RETANGULAR 150 X 100 X 6.35 X 5000,1.0
167,Eixo,031243,TUBO BALANCIM TANDEM 6T,"134031NAC - TUBO QUADRADO   100,00 X 100,00 X 6MM",4.0
168,Eixo,031245,TUBO BALANCIM TANDEM 4T,"134031NAC - TUBO QUADRADO   100,00 X 100,00 X 6MM",10.0
169,Eixo,031248,BRACO ESTABILIZADOR(TUBO) - EIXO BAL TANDEM CBHM/CBH 4T,"120200 - CHAPA GQ 1/4 (1,20 x 4,05m) 1010",14.0
170,Eixo,032402,"FECHAMENTO _ EIXO DIANTEIRO-TRASEIRO-BALANCIM _ FA-FTC-CBH-CBHM 4,0T-6,0T","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",32.0
171,Eixo,032467,"FECHAMENTO [EIXO - CBH/CBHM 6,0T]","120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",4.0
172,Eixo,032639,FECHAMENTO [EIXO - CBH7],"120305 - BOBINA CHAPA LQ 4.75 X 1,20 A36/CIVIL300",2.0
173,Eixo,405980,PONTA EIXO      FA4/CBHM,110012 - ACO LAMINADO RED 2.1/2    1045,44.0
174,Eixo,409741,SAPATA CHASSI              CBHM,"120157 - CHAPA GQ   3/8 (9,53)     1010",38.0
175,Eixo,412661,ARRUELA P/RET - EIXO (C) F6,"120303 - CHAPA FQ 3/16 (1,20 x 6,00m) 1010",36.0
