codigo_descricao
023589 - IÇAMENTO COMPLETO SS CINZA [CBH/CBHM/FTC-2E]
032363 - FUEIRINHO LD M21
032364 - FUEIRINHO LE M21
032366 - Traseira CBH U.G
031591 - Tras. F6 RD Bag
024776 - Tandem 6T C/ Trava
024777 - Tandem 6T S/ Trava
479937 - 7t SS
460576 - 5000 SS
032784 - F4/F6 CM
031755 - SUPORTE EIXO BALANCIM TANDEM - CBH/CBHM 6T M20
032780 - Diant. F4/F6
031737 - SUPORTE EIXO BALANCIM TANDEM - CBH/CBHM 4TON M20
032641 - 6000 SS
425916 - 4500 RD SS
032737 - Tanque 6500l Especial M22
031501 - Plataforma 6000 CAFFEIRA (CBHM)
024480 - Tandem 4T C/ Trava
024481 - Tandem 4T S/ Trava
032782 - Tras. F4/F6
030378 - Lat SUP- CBH 5 (M17)
032361 - CBH 5,0 - A.L
032360 - CBH 5,0 - U.G
032390 - CBH7,0 - U.G - 01 Eixo
031401 - Lat INF LE (FECHO RÁPIDO) - CBH5,0 7M³ A.L M19
031422 - Lat INF LD - CBH5 7M³ A.L M19
029520 - Tubo Espaçador A.L
031228 - Traseira A.L
031230 - Banquinho
031289 - Fueiro LD - CBH A.L (M19)
031290 - Fueiro LE - CBH A.L (M19)
032770 - Tanque 4300 M22
032633 - CBH6,0 - UG - 01 EIXO (NOVO)
030340 - Plataforma 3500/5000/8000 (CBHM)
031022 - Gigante de 0,45
031250 - Fueiro Central LD CBHM 6000
031251 - Fueiro Central LE CBHM 6000
031254 - Fueiro Diant LE 0,90 - CBHM
031255 - Fueiro Diant LD 0,90 - CBHM
031541 - Fueiro Tras Direito 1,10m - CBHM 5000 c/Corrente
031542 - Fueiro Tras Esquerdo 1,10m - CBHM 5000 c/Corrente
460382 - Diant SUP 0,45
460400 - Diant INF 0,45
031544 - Tampa Tras C/ ABA e GANCHO Lateral Cafeeira 1,10
031540 - Traseira 5000 Cafeeira C/ gancho
493181 - Lat. SUP (5000/4500) CBHM
493193 - Lat. INF (5000/4500) CBHM
032729 - Eixo 6000 SC
464922 - Eixo Completo SC RD (5000) CBHM
024481 - Eixo Tandem 4T S/ Trava
031737 - Suporte Tandem 4 ton
030383 - Macaco Compl. CBHM 5000/FA
030716 - Chassi CBH/CBHM 4t SC
031016 - Tras. de 0,45
031034 - Est. Lat. ALT 0,45 - S3,20MD
029958 - PLAT. 3,20M
025048 - Traseira 5000
031264 - Fueiro Tras LD 1,10 - CBHM
031265 - Fueiro Tras LE 1,10 - CBHM
425928 - Grade Dianteira INF (4500) CBHM
425930 - Grade Dianteira SUP (4500) CBHM
025046 - Tampa Traseira C/ ABA e GANCHO 90cm 4500 CBHM
031257 - Fueiro Tras LE 0,90 - CBHM 4500
031258 - Fueiro Tras LD 0,90 - CBHM 4500
024776 - Eixo Tandem 6T
024777 - Eixo Tandem 6T S/ Trava
031755 - Suporte Tandem 6T
460576 - Eixo 5000 SS
466906 - FA4FB RD
032780 - Eixo Dianteiro Completo F4/F6
032782 - Eixo Traseiro Completo F4/F6
030588 - Chassi 5000 SS - COMPLETO
032762 - CHASSI F6 SS PARA TANQUE
487030 - Chassi FA4FB S/M
463061 - Içamento Pequeno SS FAFB
032737 - TANQUE SIMPLES ESPECIAL 6500 M22
030615 - Plataforma 4500
425916 - Eixo Completo SS RD (4500) CBHM
032784 - Eixo F6 CM
029661 - PLAT. 4M
031048 - Est. Lat. INF ALT 0,45 - G4,0MD
031052 - Tras Inferior
031062 - Tras Superior
031020 - Est. Lat. - Alt 0,45 - s 4md
031049 - Gigante de 0,90
031518 - CBH6,0 - 7m³ A.L
030587 - Lat SUP - CBH 6 M17
030599 - Lat INF LE (FECHO RÁPIDO) - CBH6,0 A.L
030732 - Lat INF LD - CBH 6 A.L (M17)
031197 - CBH6,0 - A.L - 02 Eixos
030467 - Eixo Tras. Grande
031880 - IÇAMENTO COMPLETO SS [CBHF M13]
030493 - CHASSI 2 EIXOS RS/RD SS
030468 - Eixo Diant. Grande
025954 - FECHAMENTO LATERAL A45 LARANJA [F6 MT]
029685 - FECHAMENTO DIANTEIRO A45 [F4/6 MT]
029687 - FECHAMENTO TRASEIRO A45 [F4/6 MT]
025684 - FECHAMENTO LATERAL A45 [F4 MT]
025571 - PLAT. 4m [F6 MT]
025686 - PLATAFORMA [F4 MT]
450789 - Plataforma 6000/10.000 1 Eixo
493650 - Eixo Simples SC CBHM (7ton)
479937 - Eixo 7t SS
025840 - 5º Roda
030620 - Chassi CBH/CBHM 4t SC
030669 - Chassi 7000 SS - COMPLETO
030730 - CHASSI COMPLETO SC CINZA [CBH7/CBHM6000 M17]
031502 - CHASSI COMPLETO SS [CBHM 6000 CAFEEIRA]
031547 - Chassi CBHM 6000 Cafeeira 6000 SC
030787 - CHASSI F4 SS
462184 - IÇAMENTO COMPLETO SS CINZA [F4/6 M98]
032635 - CBH6,0 - A.L - 01 EIXO (NOVO)
025860 - Eixo Diant. Pequeno
024480 - Eixo Tandem 4T
466529 - Grade Lateral 60cm (3500) CBHM
031252 - Fueiro Diant LE - CBHM 8000/10000
031253 - Fueiro Diant LD - CBHM 8000/10000
030854 - Traseira 10.000
031266 - Fueiro Tras LD - CBHM 8000/10000
031267 - Fueiro Tras LE - CBHM 8000/10000
030809 - Plataforma 6000/10.000 - 2 Eixos (CBHM)
030792 - CHASSI 2 EIXOS RS/TANDEM
031053 - Est. Lat. INF Alt 0,45 - G3,20MD
030788 - CHASSI F6 SS
032530 - CHASSI 6000 SS [CBH6 M22]
030639 - Chassi 5000 CC
031523 - CHASSI COMPLETO SS [CBH6R M19]
031231 - Fueiro Traseiro LD 60 CM CBHM 3500
031232 - Fueiro Traseiro LE 60 CM CBHM 3500
031234 - Fueiro Dianteiro LE 60 CM CBHM 3500
031235 - Fueiro Dianteiro LD 60 CM CBHM 3500
025045 - Tampa Traseira 3500 CBHM
466621 - Dianteira de 0,60
460989 - Eixo 5000 CC
436008 - EIXO COMPLETO SS RS FA3/4 FB
031374 - CBH7,0 - A.L - 01 Eixo
029945 - CHASSI F4 C/M
032729 - 6000 SC
032727 - CHASSI 6000 C/ FREIO
031291 - SUPORTE TANDEM UVA
033422 - Eixo TANDEM S/TRAVA UVA
033423 - Eixo TANDEM C/TRAVA UVA
430468 - CHASSI UVA
453225 - IÇAMENTO COMPLETO [FA2]
031860 - Gigante Uva
032471 - PLATAFORMA UVA M21
032686 - PLATAFORMA [FA2A M22]
032691 - Gigante Manga
033018 - GIGANTE FA6F
033012 - PLATAFORMA FA6F
416356 - Içamento FA6
025233 - Chassi (M13) FA6 SS
031516 - CHASSI CBH6,0 7m³ SS
033638 - CENOURA
033669 - Gigante BAG/CENOURA
031002 - Tras. de 0,60
031030 - Est. Lat. ALT 0,60 - S3,20MD
017917 - EIXO BAL COMPL SS (CEN -1,75) F6SS
030788 - CHASSI F6 SS c/ comboio
030995 - Gigante de 0,60
030216 - Eixo Compl Bal Tandem c/Freio LD CBHM 4T
030246 - Eixo Compl Bal Tandem c/Freio LE CBHM 4T
TESTE - TESTE TI
034482 - CBH 5,0 - U.G + ABL
034481 - Traseira CBH U.G + ABL
029668 - CHASSI F6 C/M
029989 - 5º Roda F4/6
031503 - Chassi 6000 CAFEEIRA SS
032763 - CHASSI F6 C/M PARA TANQUE
032764 - CHASSI 4T F4 SS PARA TANQUE
034156 - PLAT. 4M NOVO M23
460722 - Eixo Completo CS (5000) CBHM
029668 - CHASSI F6 C/M c/ comboio
032784 - Eixo F4 CM
032409 - Içamento Completo MAIOR FA4
032774 - CHASSI 4T F4 SS PARA TANQUE 1 EIXO
031236 - Fueiro Cent LE CBHM 10000
031249 - Fueiro Cent LD CBHM 10000
034157 - Gigante de 0,45 NOVO M23
034163 - Tras. de 0,45 NOVO M23
030504 - Içamento Maior P/ Tanque FA6
032777 - Chassi FA6 SS P/ Tanque
029661 - PLAT. 4M NOVO M23
034162 - Gigante de 0,90 NOVO M23
034164 - Tras Inferior NOVO M23
034165 - Tras Superior NOVO M23
034150 - PLAT. 3,20M NOVO M23
034630 - CILINDRO CAF
034880 - CILINDRO 5000
017899 - EIXO DIANT COMPL SS (CEN-1,75)
024480 - EIXO COMPLETO BALANCIM TANDEM C/ TRAVA CINZA [CBH5/CBHM5000]
024481 - EIXO COMPLETO BALANCIM TANDEM S/ TRAVA [CBH5/CBHM5000]
493650 - Eixo 7t SC
032545 - CENOURA
031591 - EIXO BALANCIM COMPLETO SS RD F6 BAG M19
031593 - EIXO DIANT COMPL SS F6 BAG M19
222402 - CUBO 5000 C/ FREIO
032737 - TANQUE SIMPLES 6500L LARANJA [FTC 6500 M22]
031020 - Est. Lat. - Alt 0,60 - s 4md
032424 - CBH7,0 - U.G - 02 Eixos
032363 - FUEIRO USO GERAL LE [ [CBH M21]
032364 - FUEIRO USO GERAL LD [CBH M21]
032366 - TAMPA TRASEIRA UG
033052 - CHASSI SIMPLES RS/RD [CBHM6000P-2E]
033054 - CBH7,0 - A.L - 02 Eixos
029989 - 5ª RODA
032765 - CHASSI CS [FTC 4300 M17]
032784 - Eixo F4/6 CM
024030 - CHASSI CBHF
030638 - CHASSI COMPLETO CS [CBHM 5000 M17]
416356 - IÇAMENTO COMPLETO [FA6]
032549 - Gigante BAG/CENOURA
